filename,labels
01 - Inolvidable-4.txt,"['pia', 'voi']"
01 - Inolvidable-5.txt,['pia']
01 - Inolvidable-6.txt,['pia']
01 - Inolvidable-7.txt,['pia']
01 - Inolvidable-9.txt,"['pia', 'voi']"
01 - La leyenda del tiempo-11.txt,"['gac', 'org']"
01 - La leyenda del tiempo-13.txt,"['gac', 'voi']"
01 - La leyenda del tiempo-15.txt,['gac']
01 - La leyenda del tiempo-2.txt,['gac']
01 - La leyenda del tiempo-3.txt,"['gac', 'org']"
01 - La leyenda del tiempo-4.txt,"['gac', 'voi']"
01 - La leyenda del tiempo-5.txt,"['gac', 'voi']"
01 - La leyenda del tiempo-6.txt,"['gac', 'voi']"
01 - La leyenda del tiempo-7.txt,['gac']
01 - La leyenda del tiempo-9.txt,"['gac', 'voi']"
01 - Led Zeppelin - Custard Pie-1.txt,['gel']
01 - Led Zeppelin - Custard Pie-10.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-12.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-13.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-14.txt,['gel']
01 - Led Zeppelin - Custard Pie-15.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-16.txt,['gel']
01 - Led Zeppelin - Custard Pie-2.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-3.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-4.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-5.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-7.txt,"['gel', 'voi']"
01 - Led Zeppelin - Custard Pie-8.txt,['gel']
01 - Orchids in the Moonlight-1.txt,['gac']
01 - Orchids in the Moonlight-10.txt,['gac']
01 - Orchids in the Moonlight-11.txt,['gac']
01 - Orchids in the Moonlight-2.txt,['gac']
01 - Orchids in the Moonlight-3.txt,['gac']
01 - Orchids in the Moonlight-5.txt,['gac']
01 - Orchids in the Moonlight-6.txt,['gac']
01 - Orchids in the Moonlight-7.txt,['gac']
01 - Orchids in the Moonlight-8.txt,['gac']
01 - Orchids in the Moonlight-9.txt,['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-1.txt",['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-2.txt",['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-3.txt",['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-4.txt",['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-5.txt",['gac']
"01 - Paganini - Eliot Fisk, Guitar - No. 1 in E-major-6.txt",['gac']
01 - Roadgame-1.txt,['voi']
01 - Roadgame-10.txt,['pia']
01 - Roadgame-12.txt,"['pia', 'sax']"
01 - Roadgame-13.txt,"['pia', 'sax']"
01 - Roadgame-14.txt,"['pia', 'sax']"
01 - Roadgame-15.txt,"['pia', 'sax']"
01 - Roadgame-16.txt,"['pia', 'sax']"
01 - Roadgame-17.txt,"['pia', 'sax']"
01 - Roadgame-18.txt,"['pia', 'sax']"
01 - Roadgame-19.txt,"['pia', 'sax']"
01 - Roadgame-21.txt,['pia']
01 - Roadgame-22.txt,['pia']
01 - Roadgame-23.txt,['pia']
01 - Roadgame-24.txt,['pia']
01 - Roadgame-26.txt,"['pia', 'sax']"
01 - Roadgame-27.txt,"['pia', 'sax']"
01 - Roadgame-28.txt,"['pia', 'sax']"
01 - Roadgame-3.txt,['pia']
01 - Roadgame-30.txt,['pia']
01 - Roadgame-32.txt,"['pia', 'sax']"
01 - Roadgame-33.txt,"['pia', 'sax']"
01 - Roadgame-4.txt,"['pia', 'sax']"
01 - Roadgame-6.txt,['pia']
01 - Roadgame-7.txt,['pia']
01 - Roadgame-8.txt,['pia']
01 - Roadgame-9.txt,['pia']
01 - roads-12.txt,['voi']
01 - roads-13.txt,['voi']
01 - roads-15.txt,['voi']
01 - roads-18.txt,['voi']
01 - roads-19.txt,['voi']
01 - roads-20.txt,['voi']
01 - roads-21.txt,['voi']
01 - roads-22.txt,['voi']
01 - roads-23.txt,['voi']
01 - roads-4.txt,['voi']
01 - roads-5.txt,['voi']
01 - roads-7.txt,['voi']
01 - roads-8.txt,['voi']
01 - So What-1.txt,['pia']
01 - So What-10.txt,"['pia', 'tru']"
01 - So What-11.txt,"['pia', 'tru']"
01 - So What-13.txt,"['pia', 'sax']"
01 - So What-14.txt,"['pia', 'sax']"
01 - So What-15.txt,"['pia', 'sax']"
01 - So What-16.txt,"['pia', 'sax']"
01 - So What-17.txt,"['pia', 'sax']"
01 - So What-18.txt,"['pia', 'sax']"
01 - So What-19.txt,"['pia', 'sax']"
01 - So What-20.txt,"['pia', 'sax']"
01 - So What-21.txt,"['pia', 'sax']"
01 - So What-22.txt,"['pia', 'sax']"
01 - So What-24.txt,['pia']
01 - So What-25.txt,['pia']
01 - So What-27.txt,['pia']
01 - So What-29.txt,['pia']
01 - So What-31.txt,['pia']
01 - So What-4.txt,['pia']
01 - So What-5.txt,['pia']
01 - So What-7.txt,"['pia', 'tru']"
01 - So What-8.txt,"['pia', 'tru']"
01 - So What-9.txt,"['pia', 'tru']"
01 - Wee Baby Blues-1.txt,"['pia', 'sax']"
01 - Wee Baby Blues-11.txt,"['gel', 'pia', 'voi']"
01 - Wee Baby Blues-2.txt,"['gel', 'pia', 'voi']"
01 - Wee Baby Blues-3.txt,"['gel', 'pia', 'voi']"
01 - Wee Baby Blues-4.txt,"['gel', 'pia', 'voi']"
01 - Wee Baby Blues-6.txt,"['gel', 'pia']"
01 - Wee Baby Blues-7.txt,"['gel', 'pia']"
01 - Wee Baby Blues-9.txt,"['gel', 'pia', 'sax']"
01 Blue Train-1.txt,['pia']
01 Blue Train-10.txt,"['pia', 'sax']"
01 Blue Train-12.txt,"['pia', 'sax']"
01 Blue Train-14.txt,"['pia', 'tru']"
01 Blue Train-15.txt,"['pia', 'tru']"
01 Blue Train-16.txt,"['pia', 'tru']"
01 Blue Train-17.txt,"['pia', 'tru']"
01 Blue Train-18.txt,"['pia', 'tru']"
01 Blue Train-20.txt,['pia']
01 Blue Train-21.txt,['pia']
01 Blue Train-22.txt,['pia']
01 Blue Train-23.txt,['pia']
01 Blue Train-25.txt,['pia']
01 Blue Train-26.txt,['pia']
01 Blue Train-27.txt,['pia']
01 Blue Train-28.txt,['pia']
01 Blue Train-29.txt,['pia']
01 Blue Train-3.txt,"['pia', 'sax']"
01 Blue Train-30.txt,['pia']
01 Blue Train-31.txt,['pia']
01 Blue Train-36.txt,['pia']
01 Blue Train-37.txt,['pia']
01 Blue Train-4.txt,"['pia', 'sax']"
01 Blue Train-5.txt,"['pia', 'sax']"
01 Blue Train-6.txt,"['pia', 'sax']"
01 Blue Train-7.txt,"['pia', 'sax']"
01 Blue Train-9.txt,"['pia', 'sax']"
01 Booker T. Jones - Pound It Out-1.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-10.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-11.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-12.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-13.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-3.txt,['gel']
01 Booker T. Jones - Pound It Out-4.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-6.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-8.txt,"['gel', 'org']"
01 Booker T. Jones - Pound It Out-9.txt,"['gel', 'org']"
01 Chuck Mangione_Feels So Good_Feels So Good-1.txt,"['gac', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-10.txt,"['gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-12.txt,"['gac', 'gel']"
01 Chuck Mangione_Feels So Good_Feels So Good-13.txt,"['gac', 'gel', 'sax']"
01 Chuck Mangione_Feels So Good_Feels So Good-14.txt,"['gac', 'gel']"
01 Chuck Mangione_Feels So Good_Feels So Good-16.txt,"['gel', 'sax']"
01 Chuck Mangione_Feels So Good_Feels So Good-17.txt,"['gel', 'sax']"
01 Chuck Mangione_Feels So Good_Feels So Good-18.txt,"['gel', 'sax']"
01 Chuck Mangione_Feels So Good_Feels So Good-2.txt,"['gac', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-20.txt,"['gac', 'gel']"
01 Chuck Mangione_Feels So Good_Feels So Good-21.txt,"['gac', 'gel']"
01 Chuck Mangione_Feels So Good_Feels So Good-22.txt,"['gac', 'gel']"
01 Chuck Mangione_Feels So Good_Feels So Good-24.txt,"['gac', 'gel', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-26.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-27.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-29.txt,"['gac', 'gel', 'sax']"
01 Chuck Mangione_Feels So Good_Feels So Good-3.txt,"['gac', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-30.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-31.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-32.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-33.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-34.txt,"['gac', 'gel', 'sax', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-4.txt,"['gac', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-6.txt,['gac']
01 Chuck Mangione_Feels So Good_Feels So Good-8.txt,"['gel', 'tru']"
01 Chuck Mangione_Feels So Good_Feels So Good-9.txt,"['gel', 'sax', 'tru']"
01 Don't Get Around Much Anymore-1.txt,['pia']
01 Don't Get Around Much Anymore-10.txt,['pia']
01 Don't Get Around Much Anymore-12.txt,['pia']
01 Don't Get Around Much Anymore-13.txt,['pia']
01 Don't Get Around Much Anymore-14.txt,['pia']
01 Don't Get Around Much Anymore-16.txt,"['pia', 'sax', 'tru']"
01 Don't Get Around Much Anymore-18.txt,"['pia', 'sax']"
01 Don't Get Around Much Anymore-2.txt,"['pia', 'sax']"
01 Don't Get Around Much Anymore-3.txt,"['pia', 'sax', 'tru']"
01 Don't Get Around Much Anymore-4.txt,['pia']
01 Don't Get Around Much Anymore-5.txt,['pia']
01 Don't Get Around Much Anymore-6.txt,['pia']
01 Don't Get Around Much Anymore-7.txt,"['pia', 'tru']"
01 Don't Get Around Much Anymore-8.txt,"['pia', 'tru']"
01 Don't Get Around Much Anymore-9.txt,['pia']
01 El Patufet-1.txt,['voi']
01 El Patufet-3.txt,['flu']
01 El Patufet-5.txt,['voi']
01 El Patufet-6.txt,['voi']
01 El Patufet-7.txt,['voi']
01 Emily-1.txt,['voi']
01 Emily-10.txt,"['cel', 'vio', 'voi']"
01 Emily-11.txt,"['cel', 'vio', 'voi']"
01 Emily-13.txt,"['cel', 'voi']"
01 Emily-15.txt,"['cel', 'vio', 'voi']"
01 Emily-16.txt,"['cel', 'voi']"
01 Emily-18.txt,"['cel', 'vio', 'voi']"
01 Emily-19.txt,"['cel', 'vio', 'voi']"
01 Emily-2.txt,"['vio', 'voi']"
01 Emily-20.txt,"['cel', 'vio', 'voi']"
01 Emily-21.txt,"['cel', 'vio', 'voi']"
01 Emily-22.txt,"['cel', 'vio', 'voi']"
01 Emily-23.txt,"['cel', 'vio', 'voi']"
01 Emily-24.txt,"['cel', 'vio', 'voi']"
01 Emily-26.txt,['voi']
01 Emily-28.txt,"['cel', 'vio', 'voi']"
01 Emily-29.txt,['voi']
01 Emily-30.txt,['voi']
01 Emily-32.txt,"['cel', 'vio', 'voi']"
01 Emily-34.txt,['voi']
01 Emily-35.txt,"['cel', 'vio', 'voi']"
01 Emily-36.txt,"['cel', 'vio', 'voi']"
01 Emily-37.txt,"['cel', 'vio', 'voi']"
01 Emily-38.txt,"['cel', 'vio', 'voi']"
01 Emily-40.txt,"['cel', 'vio']"
01 Emily-5.txt,"['cel', 'vio', 'voi']"
01 Emily-6.txt,"['cel', 'vio', 'voi']"
01 Emily-7.txt,"['cel', 'vio', 'voi']"
01 Emily-8.txt,"['cel', 'vio', 'voi']"
01 Emily-9.txt,"['cel', 'vio', 'voi']"
01 Good Vibrations-1.txt,"['gel', 'sax']"
01 Good Vibrations-10.txt,"['gel', 'sax']"
01 Good Vibrations-12.txt,"['org', 'sax']"
01 Good Vibrations-13.txt,"['org', 'sax']"
01 Good Vibrations-14.txt,"['org', 'sax']"
01 Good Vibrations-15.txt,"['org', 'sax']"
01 Good Vibrations-17.txt,"['gel', 'org']"
01 Good Vibrations-18.txt,"['gel', 'org']"
01 Good Vibrations-20.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-21.txt,"['gel', 'org']"
01 Good Vibrations-22.txt,"['gel', 'org']"
01 Good Vibrations-24.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-25.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-26.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-27.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-28.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-29.txt,"['gel', 'org', 'sax']"
01 Good Vibrations-3.txt,"['gel', 'org']"
01 Good Vibrations-4.txt,"['gel', 'org']"
01 Good Vibrations-5.txt,"['gel', 'org']"
01 Good Vibrations-6.txt,"['gel', 'org']"
01 Good Vibrations-7.txt,"['gel', 'org']"
01 Good Vibrations-9.txt,"['gel', 'sax']"
"01 Julian Bream - Albeniz- Mallorca, Opus 202-1.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-10.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-11.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-12.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-13.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-14.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-15.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-16.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-17.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-18.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-19.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-2.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-20.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-21.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-3.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-4.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-5.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-6.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-7.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-8.txt",['gac']
"01 Julian Bream - Albeniz- Mallorca, Opus 202-9.txt",['gac']
01 Just One Of Those Things-1.txt,"['pia', 'sax']"
01 Just One Of Those Things-10.txt,"['pia', 'sax']"
01 Just One Of Those Things-11.txt,"['pia', 'sax']"
01 Just One Of Those Things-12.txt,"['pia', 'sax']"
01 Just One Of Those Things-14.txt,['pia']
01 Just One Of Those Things-15.txt,['pia']
01 Just One Of Those Things-16.txt,['pia']
01 Just One Of Those Things-17.txt,['pia']
01 Just One Of Those Things-18.txt,['pia']
01 Just One Of Those Things-19.txt,['pia']
01 Just One Of Those Things-2.txt,"['pia', 'sax']"
01 Just One Of Those Things-21.txt,"['pia', 'sax']"
01 Just One Of Those Things-22.txt,"['pia', 'sax']"
01 Just One Of Those Things-23.txt,"['pia', 'sax']"
01 Just One Of Those Things-4.txt,"['pia', 'sax']"
01 Just One Of Those Things-5.txt,"['pia', 'sax']"
01 Just One Of Those Things-6.txt,"['pia', 'sax']"
01 Just One Of Those Things-7.txt,"['pia', 'sax']"
01 Just One Of Those Things-8.txt,"['pia', 'sax']"
01 Just One Of Those Things-9.txt,"['pia', 'sax']"
01 Organ Grinder's Swing-1.txt,"['gel', 'org']"
01 Organ Grinder's Swing-2.txt,"['gel', 'org']"
01 Organ Grinder's Swing-3.txt,"['gel', 'org']"
01 Organ Grinder's Swing-4.txt,"['gel', 'org']"
01 Organ Grinder's Swing-5.txt,"['gel', 'org']"
01 Organ Grinder's Swing-7.txt,['voi']
01 Organ Grinder's Swing-8.txt,"['gel', 'org']"
01 Start Making Noise-1.txt,['gac']
01 Start Making Noise-10.txt,"['gac', 'voi']"
01 Start Making Noise-11.txt,"['gac', 'voi']"
01 Start Making Noise-13.txt,"['gac', 'voi']"
01 Start Making Noise-15.txt,"['gac', 'voi']"
01 Start Making Noise-16.txt,"['gac', 'voi']"
01 Start Making Noise-2.txt,"['gac', 'voi']"
01 Start Making Noise-4.txt,"['gac', 'voi']"
01 Start Making Noise-6.txt,"['gac', 'voi']"
01 Start Making Noise-7.txt,"['gac', 'voi']"
01 Start Making Noise-9.txt,"['gac', 'voi']"
01 the other side of the crash_over-10.txt,"['gel', 'voi']"
01 the other side of the crash_over-11.txt,"['gel', 'voi']"
01 the other side of the crash_over-12.txt,"['gel', 'voi']"
01 the other side of the crash_over-13.txt,"['gel', 'voi']"
01 the other side of the crash_over-15.txt,['gel']
01 the other side of the crash_over-17.txt,"['gel', 'pia']"
01 the other side of the crash_over-18.txt,"['gel', 'voi']"
01 the other side of the crash_over-19.txt,"['gel', 'voi']"
01 the other side of the crash_over-2.txt,['gel']
01 the other side of the crash_over-20.txt,"['gel', 'voi']"
01 the other side of the crash_over-22.txt,['gel']
01 the other side of the crash_over-3.txt,"['gel', 'voi']"
01 the other side of the crash_over-4.txt,"['gel', 'voi']"
01 the other side of the crash_over-5.txt,"['gel', 'voi']"
01 the other side of the crash_over-6.txt,['gel']
01 the other side of the crash_over-7.txt,"['gel', 'voi']"
01 the other side of the crash_over-8.txt,"['gel', 'voi']"
01 the other side of the crash_over-9.txt,"['gel', 'voi']"
01 Volunteered Slavery-1.txt,['sax']
01 Volunteered Slavery-10.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-11.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-12.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-13.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-14.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-15.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-16.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-17.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-19.txt,"['pia', 'voi']"
01 Volunteered Slavery-2.txt,['sax']
01 Volunteered Slavery-20.txt,"['pia', 'voi']"
01 Volunteered Slavery-4.txt,['voi']
01 Volunteered Slavery-5.txt,['voi']
01 Volunteered Slavery-7.txt,"['sax', 'voi']"
01 Volunteered Slavery-8.txt,"['pia', 'sax', 'tru']"
01 Volunteered Slavery-9.txt,"['pia', 'sax', 'tru']"
01) Bert Jansch - Avocet-1.txt,['gac']
01) Bert Jansch - Avocet-11.txt,['gac']
01) Bert Jansch - Avocet-12.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-13.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-14.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-15.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-16.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-17.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-19.txt,['gac']
01) Bert Jansch - Avocet-20.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-21.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-22.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-23.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-24.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-26.txt,['gac']
01) Bert Jansch - Avocet-29.txt,['gac']
01) Bert Jansch - Avocet-3.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-30.txt,"['cel', 'gac']"
01) Bert Jansch - Avocet-32.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-33.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-35.txt,['gac']
01) Bert Jansch - Avocet-36.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-37.txt,['gac']
01) Bert Jansch - Avocet-38.txt,['gac']
01) Bert Jansch - Avocet-4.txt,"['gac', 'vio']"
01) Bert Jansch - Avocet-40.txt,"['flu', 'gac']"
